mlb_id,player_name,ogba_team_code,positions,is_pitcher,R,HR,RBI,SB,H,AB,AVG,W,SV,K,ER,IP,ERA,BB_H,WHIP,mlb_team_abbr,mlb_team_name,mlb_full_name,mlb_primary_pos,mlb_bats,mlb_throws
669003,G. Mitchell,DLC,OF,0,9,0,3,3,14,68,0.206,0,0,0,0,0.0,0.0,0,0.0,,Milwaukee Brewers,Garrett Mitchell,CF,L,R
670770,T. Friedl,SKD,OF,0,70,10,41,11,126,481,0.262,0,0,0,0,0.0,0.0,0,0.0,,Cincinnati Reds,TJ Friedl,CF,L,L
643446,J. McNeil,,OF,0,36,12,47,2,81,320,0.253,0,0,0,0,0.0,0.0,0,0.0,,New York Mets,Jeff McNeil,2B,L,R
676475,A. Burleson,LDY,OF,0,47,16,60,5,123,430,0.286,0,0,0,0,0.0,0.0,0,0.0,,St. Louis Cardinals,Alec Burleson,1B,L,L
664983,J. McCarthy,TSH,OF,0,14,3,12,6,30,149,0.201,0,0,0,0,0.0,0.0,0,0.0,,Arizona Diamondbacks,Jake McCarthy,CF,L,L
671056,I. Herrera,,C,0,35,11,49,6,85,299,0.284,0,0,0,0,0.0,0.0,0,0.0,,St. Louis Cardinals,Iván Herrera,C,R,R
672275,P. Bailey,DLC,C,0,32,2,38,0,70,333,0.21,0,0,0,0,0.0,0.0,0,0.0,,San Francisco Giants,Patrick Bailey,C,S,R
660688,K. Ruiz,DDG,C,0,19,2,25,0,63,255,0.247,0,0,0,0,0.0,0.0,0,0.0,,Washington Nationals,Keibert Ruiz,C,S,R
686948,D. Baldwin,,C,0,40,14,60,0,87,313,0.278,0,0,0,0,0.0,0.0,0,0.0,,Atlanta Braves,Drake Baldwin,C,L,R
669257,W. Smith,LDY,C,0,59,16,58,2,100,347,0.288,0,0,0,0,0.0,0.0,0,0.0,,Los Angeles Dodgers,Will Smith,C,R,R
663886,T. Stephenson,DMK,C,0,32,9,36,0,57,252,0.226,0,0,0,0,0.0,0.0,0,0.0,,Cincinnati Reds,Tyler Stephenson,C,R,R
687221,D. Rushing,,C,0,12,3,21,0,21,111,0.189,0,0,0,0,0.0,0.0,0,0.0,,Los Angeles Dodgers,Dalton Rushing,C,L,R
682626,F. Alvarez,DDG,C,0,24,7,24,0,49,185,0.265,0,0,0,0,0.0,0.0,0,0.0,,New York Mets,Francisco Alvarez,C,R,R
696100,H. Goodman,SKD,C,0,63,26,76,1,123,447,0.275,0,0,0,0,0.0,0.0,0,0.0,,Colorado Rockies,Hunter Goodman,C,R,R
672515,G. Moreno,,C,0,34,7,29,1,56,202,0.277,0,0,0,0,0.0,0.0,0,0.0,,Cardenales de Lara,Gabriel Moreno,C,R,R
669221,S. Murphy,LDY,C,0,34,16,45,0,58,282,0.206,0,0,0,0,0.0,0.0,0,0.0,,Atlanta Braves,Sean Murphy,C,R,R
663647,K. Hayes,SKD,CM,0,40,5,36,12,95,390,0.244,0,0,0,0,0.0,0.0,0,0.0,,Cincinnati Reds,Ke'Bryan Hayes,3B,R,R
681393,C. Norby,,CM,0,36,6,29,7,64,260,0.246,0,0,0,0,0.0,0.0,0,0.0,,Miami Marlins,Connor Norby,3B,R,R
668901,M. Vientos,DVD,CM,0,37,15,53,0,85,346,0.246,0,0,0,0,0.0,0.0,0,0.0,,New York Mets,Mark Vientos,3B,R,R
807713,M. Shaw,LDY,CM,0,45,11,35,15,71,308,0.231,0,0,0,0,0.0,0.0,0,0.0,,Chicago Cubs,Matt Shaw,3B,R,R
547180,B. Harper,,CM,0,62,22,63,11,111,412,0.269,0,0,0,0,0.0,0.0,0,0.0,,Philadelphia Phillies,Bryce Harper,1B,L,R
642715,W. Adames,DMK,MI,0,83,25,71,8,115,501,0.23,0,0,0,0,0.0,0.0,0,0.0,,San Francisco Giants,Willy Adames,SS,R,R
682668,L. Acuna,DLC,MI,0,26,0,7,12,38,159,0.239,0,0,0,0,0.0,0.0,0,0.0,,Cardenales de Lara,Luisangel Acuña,2B,R,R
682928,CJ. Abrams,,MI,0,79,17,53,28,130,483,0.269,0,0,0,0,0.0,0.0,0,0.0,,Washington Nationals,CJ Abrams,SS,L,R
669364,X. Edwards,SKD,MI,0,68,2,34,24,139,490,0.284,0,0,0,0,0.0,0.0,0,0.0,,Miami Marlins,Xavier Edwards,SS,S,R
