mlb_id,mlb_full_name,is_pitcher,career_group,career_G,career_AB,career_R,career_H,career_HR,career_RBI,career_SB,career_AVG,career_OBP,career_SLG,career_OPS,career_GS,career_W,career_L,career_SV,career_K,career_IP,career_ERA,career_WHIP,career_CG,career_SHO
666157,Nick Lodolo,1,P,76,,,,,,,,,,,75,24,22,0,456,409.2,4.06,1.21,2,1
656605,Mitch Keller,1,P,165,,,,,,,,,,,163,42,65,0,837,878.0,4.51,1.38,2,1
681982,Grant Anderson,1,P,115,,,,,,,,,,,0,4,8,1,133,132.0,4.70,1.39,0,0
642547,Freddy Peralta,1,P,211,,,,,,,,,,,162,70,42,1,1153,931.0,3.59,1.13,1,0
694297,Brandon Pfaadt,1,P,84,,,,,,,,,,,83,27,28,0,426,454.1,5.13,1.31,0,0
671096,Andrew Abbott,1,P,75,,,,,,,,,,,75,28,23,0,383,413.2,3.42,1.24,1,1
543243,Sonny Gray,1,P,339,,,,,,,,,,,330,125,102,0,1925,1918.0,3.58,1.20,7,5
601713,Nick Pivetta,1,P,254,,,,,,,,,,,209,69,76,3,1329,1211.0,4.47,1.27,2,0
650911,Cristopher Sánchez,1,P,104,,,,,,,,,,,85,30,21,1,509,535.2,3.24,1.16,3,1
663903,Brady Singer,1,P,159,,,,,,,,,,,156,50,56,0,808,855.0,4.23,1.31,1,0
656849,David Peterson,1,P,131,,,,,,,,,,,115,37,30,0,614,622.2,4.12,1.37,2,1
592791,Jameson Taillon,1,P,224,,,,,,,,,,,223,82,60,1,1073,1237.0,3.87,1.19,3,1
668964,Tobias Myers,1,P,49,,,,,,,,,,,31,10,8,0,165,188.2,3.15,1.22,0,0
669022,MacKenzie Gore,1,P,105,,,,,,,,,,,102,26,41,0,589,532.1,4.19,1.40,0,0
666200,Jesús Luzardo,1,P,137,,,,,,,,,,,121,41,41,2,775,695.2,4.19,1.24,0,0
625643,Reynaldo López,1,P,268,,,,,,,,,,,123,47,54,6,766,820.1,3.94,1.27,1,0
605280,Clay Holmes,1,P,344,,,,,,,,,,,35,36,30,74,489,503.0,3.65,1.30,0,0
640462,A.J. Puk,1,P,212,,,,,,,,,,,4,17,20,26,283,227.0,3.53,1.19,0,0
666808,Camilo Doval,1,P,297,,,,,,,,,,,0,26,19,108,354,286.2,3.39,1.28,0,0
670280,David Bednar,1,P,315,,,,,,,,,,,0,18,23,111,389,317.1,3.15,1.15,0,0
656550,Grant Holmes,1,P,48,,,,,,,,,,,28,6,10,0,193,183.1,3.83,1.28,0,0
690986,Kyle Harrison,1,P,42,,,,,,,,,,,37,9,9,0,191,194.2,4.39,1.32,0,0
679885,Justin Martinez,1,P,91,,,,,,,,,,,0,6,8,14,127,98.0,3.77,1.41,0,0
656945,Tanner Scott,1,P,444,,,,,,,,,,,0,32,28,78,546,425.2,3.72,1.34,0,0
664854,Ryan Helsley,1,P,297,,,,,,,,,,,0,31,18,105,377,319.2,2.96,1.17,0,0
676534,Calvin Faucher,1,P,157,,,,,,,,,,,4,9,11,22,168,161.0,4.14,1.43,0,0
676254,Ryan Walker,1,P,193,,,,,,,,,,,14,20,14,28,237,202.2,2.98,1.14,0,0
663855,Jordan Hicks,1,P,275,,,,,,,,,,,37,17,35,35,409,420.1,4.41,1.40,0,0
628452,Raisel Iglesias,1,P,600,,,,,,,,,,,21,42,55,253,869,736.0,2.90,1.05,0,0
