#,Name,Team,Pos,$
665,Lourdes Gurriel Jr.,ARI,OF,-$13
666,Jack Suwinski,PIT,OF,-$13
667,Alex Freeland,LAD,3B,-$13
668,Orelvis Martinez,WSH,2B,-$13
669,Dylan Carlson,CHC,OF,-$13
670,Ryan Clifford,NYM,1B,-$13
671,Yoniel Curet,PHI,SP,-$13
672,JR Ritchie,ATL,SP,-$13
673,Triston McKenzie,SD,SP,-$13
674,Jared Young,NYM,1B,-$13
675,Christian Koss,SF,2B/SS/ 3B,-$13
676,Ryan Waldschmidt,ARI,OF,-$13
677,Nick Yorke,PIT,2B,-$14
678,Nacho Alvarez Jr.,ATL,3B,-$14
679,Vimael Machin,COL,2B,-$14
680,Jose Miranda,SD,3B,-$14
681,Riley Cornelio,WSH,SP,-$14
682,DJ LeMahieu,FA,3B,-$14
683,Esteury Ruiz,MIA,OF,-$14
684,Jonathon Long,CHC,1B,-$14
685,Didier Fuentes,ATL,SP,-$14
686,Aidan Miller,PHI,SS,-$14
687,Gabriel Hughes,COL,SP,-$14
688,Manuel Margot,FA,OF,-$14
689,Kyle Farmer,ATL,SS,-$14
690,Jean Cabrera,PHI,SP,-$14
691,Shinnosuke Ogasawara,WSH,SP,-$14
692,Ha-Seong Kim,ATL,SS,-$14
693,James Triantos,CHC,2B,-$14
694,Tirso Ornelas,SD,OF,-$14
695,Pete Hansen,STL,SP,-$14
696,Wilber Dotel,PIT,SP,-$14
697,Sean Sullivan,COL,SP,-$14
698,Carlos Carrasco,ATL,SP,-$14
699,T.J. Rumfield,COL,1B,-$14
700,Jagger Haynes,SD,SP,-$14
701,Bryan Torres,STL,OF,-$15
702,Endy Rodriguez,PIT,1B,-$15
703,Nick Morabito,NYM,OF,-$15
704,Akil Baddoo,MIL,OF,-$15
705,Brett Wisely,ATL,2B,-$15
706,Bradley Blalock,MIA,SP,-$15
707,Edwin Arroyo,CIN,SS,-$15
708,Mason McCoy,SD,SS,-$15
709,Nicky Lopez,COL,2B/SS,-$15
710,Yohandy Morales,WSH,3B,-$15
711,Tim Anderson,FA,SS,-$15
712,Ryan Ward,LAD,OF,-$15
713,Grant McCray,SF,OF,-$15
714,Vidal Brujan,NYM,2B,-$15
715,Brandon Lockridge,MIL,OF,-$15
716,Scott Kingery,CHC,OF,-$15
717,A.J. Vukovich,ARI,3B,-$15
718,Rafael Flores,PIT,1B,-$15
719,Ronny Simon,PIT,2B/OF,-$15
720,Tommy Troy,ARI,2B,-$15
721,Sterlin Thompson,COL,OF,-$15
722,Cavan Biggio,FA,1B/2B/ 3B/OF,-$15
723,Andrew Pinckney,WSH,OF,-$15
724,Hector Rodriguez,CIN,OF,-$15
725,Sam Hilliard,FA,OF,-$15
726,Oscar Gonzalez,FA,OF,-$15
727,Bryan De La Cruz,PHI,OF,-$16
728,Daz Cameron,MIL,OF,-$16
729,Enmanuel Valdez,PIT,1B/2B,-$16
730,Daniel Johnson,MIA,OF,-$16
731,Alika Williams,PIT,SS,-$16
732,DaShawn Keirsey Jr.,ATL,OF,-$16
733,Christian Franklin,WSH,OF,-$16
734,Blake Dunn,CIN,OF,-$16
735,Pablo Reyes,SD,2B/SS/ 3B,-$16
736,Forrest Wall,FA,2B,-$16
737,Trey Cabbage,FA,OF,-$16
738,Samad Taylor,SD,OF,-$16
739,Michael Siani,LAD,OF,-$16
740,Brewer Hicklen,ATL,OF,-$16
741,Blaze Jordan,STL,3B,-$16
742,Nate Furman,SF,2B,-$16
743,Eddie Rosario,FA,OF,-$16
744,Jason Vosler,FA,3B,-$16
745,Jose Azocar,ATL,OF,-$16
746,Sandro Fabian,FA,OF,-$16
747,Ji Hwan Bae,NYM,SS,-$16
748,Owen Miller,CHC,2B,-$16
749,Kevin Alcantara,CHC,OF,-$16
750,Tyler Callihan,CIN,2B,-$16
751,Maximo Acosta,MIA,3B,-$16
752,Kemp Alderman,MIA,OF,-$16
753,Billy Cook,PIT,OF,-$16
754,Adam Duvall,FA,OF,-$16
755,Kevin Kiermaier,FA,OF,-$16
756,Kevin Pillar,FA,OF,-$16
757,David Dahl,FA,OF,-$16
758,Joey Gallo,FA,OF,-$16
759,J.D. Davis,FA,1B/3B,-$16
760,Jamie Westbrook,FA,2B,-$16
761,Diego Castillo,FA,2B,-$16
762,Austin Shenton,FA,3B,-$16
763,Buddy Kennedy,SF,3B,-$16
764,Rece Hinds,CIN,OF,-$16
765,Warming Bernabel,WSH,1B,-$16
766,Bryan Ramos,STL,2B,-$16
767,Jose Ramos,NYM,OF,-$16
768,Gabriel Rincones Jr.,PHI,OF,-$16
769,Harold Ramirez,WSH,OF,-$16
770,Mike Ford,FA,1B,-$16
771,Luke Williams,ATL,OF,-$16
772,Travis Blankenhorn,FA,2B,-$16
773,Nick Maton,FA,3B,-$16
774,Aaron Schunk,ATL,2B,-$16
775,Matt Mervis,WSH,1B,-$16
776,Darren Baker,FA,2B,-$16
777,Pedro Leon,PHI,SS,-$16
778,Brock Wilken,MIL,3B,-$16
779,Donovan Solano,FA,2B,-$16
780,Hunter Renfroe,FA,OF,-$16
781,Sean Bouchard,FA,OF,-$16
782,Tyler Nevin,FA,3B,-$16
783,Estevan Florial,FA,OF,-$16
784,Dominic Fletcher,PIT,OF,-$16
785,Michael Toglia,CIN,1B,-$16
786,Jacob Amaya,ARI,SS,-$16
787,Kristian Robinson,ARI,OF,-$16
788,Ryan Fitzgerald,LAD,SS,-$16
789,Justin Dean,CHC,OF,-$16
790,Terrell Tatum,FA,OF,-$16
791,Jake Cave,FA,OF,-$16
792,Joshua Palacios,FA,OF,-$16
793,Elehuris Montero,FA,1B,-$16
794,Cristian Pache,NYM,OF,-$16
795,Eguy Rosario,FA,2B,-$16
796,Will Brennan,FA,OF,-$16
797,Clay Dungan,SD,2B,-$16
798,Matt Koperniak,STL,OF,-$16
799,Jared Serna,MIA,2B,-$16
800,Sam Brown,WSH,1B,-$16
801,Joshua Baez,STL,OF,-$16
802,Ben Cowles,CHC,SS,-$16
803,Albert Almora Jr.,FA,OF,-$16
804,Mitch Haniger,FA,OF,-$16
805,Jack Lopez,FA,2B,-$16
806,Nick Gordon,FA,OF,-$16
807,Luis Guillorme,FA,2B,-$16
808,Sergio Alcantara,WSH,SS,-$16
809,Emmanuel Rivera,FA,3B,-$16
810,Jared Walsh,FA,1B,-$16
811,Luis De Los Santos,FA,SS,-$16
812,Jesus Bastidas,MIA,SS,-$16
813,Grae Kessinger,NYM,2B,-$16
814,Jose Rojas,NYM,OF,-$16
815,Davis Wendzel,PIT,SS,-$16
816,Nelson Velazquez,STL,OF,-$16
817,Bligh Madris,STL,OF,-$16
818,Andre Lipcius,FA,2B,-$16
819,Alex Ramirez,FA,OF,-$16
820,Ethan Murray,MIL,SS,-$16
821,Jon Singleton,FA,1B,-$16
822,DJ Stewart,FA,OF,-$16
823,Cole Tucker,FA,2B,-$16
824,Bobby Dalbec,FA,1B/3B,-$16
825,Tyler Black,MIL,1B,-$16
826,Alan Trejo,FA,SS,-$16
827,Liover Peguero,PHI,SS,-$16
828,David Villar,FA,3B,-$16
829,David Hensley,MIA,3B,-$16
830,Drew Avans,COL,OF,-$16
831,Esmerlyn Valdez,PIT,OF,-$16
832,Leonardo Balcazar,CIN,SS,-$16
833,Steward Berroa,MIL,OF,-$16
834,Jacob Hurtubise,MIL,OF,-$16
835,Zach DeLoach,FA,OF,-$16
836,Jack Brannigan,PIT,SS,-$16
837,Cesar Prieto,STL,2B,-$16
838,Pedro Ramirez,CHC,2B,-$16
839,Jose Fernandez,ARI,SS,-$16
840,Matthew Batten,FA,SS,-$17
841,Jordyn Adams,MIL,OF,-$17
842,Trey Lipscomb,WSH,3B,-$17
843,Nick Senzel,LAD,OF,-$17
844,Taylor Young,LAD,2B,-$17
845,Kris Bryant,COL,DH,-$18
846,Luken Baker,ARI,DH,-$19
847,Juan Yepez,FA,DH,-$19
848,J.D. Martinez,FA,DH,-$19
849,Willie Calhoun,FA,DH,-$19
850,Oscar Colas,FA,DH,-$19
