player_name,mlb_id,team_code,is_pitcher,AB,mlb_team,H,R,HR,RBI,SB,AVG,W,SV,K,IP,ER,ERA,WHIP
H. Birdsong,,DD2,true,,SF,,,,,,,,,,,,,
M. Strahm,,LDL,true,,KC,,,,,,,,,,,,,
K. Gibson,,TST,true,,,,,,,,,,,,,,,
R. Suarez,,DKD,true,,PHI,,,,,,,,,,,,,
C. Faucher,,DLC,true,,MIA,,,,,,,,,,,,,
L. Severino,,DDD,true,,OAK,,,,,,,,,,,,,
C. Sale,,SDS,true,,ATL,,,,,,,,,,,,,
J. Jones,,RSR,true,,PIT,,,,,,,,,,,,,
Z. Gallen,,DD2,true,,AZ,,,,,,,,,,,,,
A. Vesia,,LDL,true,,,,,,,,,,,,,,,
M. King,,TST,true,,SD,,,,,,,,,,,,,
W. Buehler,,DKD,true,,,,,,,,,,,,,,,
R. Lopez,,DLC,true,,ATL,,,,,,,,,,,,,
J. Hoffman,,DDD,true,,,,,,,,,,,,,,,
D. Cease,,SDS,true,,TOR,,,,,,,,,,,,,
D. Bednar,,RSR,true,,NYY,,,,,,,,,,,,,
K. Finnegan,,DD2,true,,DET,,,,,,,,,,,,,
A,Chapman,,LDL,true,,,,,,,,,,,,,,,
C. Estevez,,TST,true,,,,,,,,,,,,,,,
M. Keller,,DKD,true,,PIT,,,,,,,,,,,,,
A. Nola,,DLC,true,,PHI,,,,,,,,,,,,,
DJ. Herz,,DDD,true,,,,,,,,,,,,,,,
R. Helsley,,SDS,true,,BAL,,,,,,,,,,,,,
A. Abbott,,RSR,true,,CIN,,,,,,,,,,,,,
J. Quintana,,DD2,true,,MIL,,,,,,,,,,,,,
E. Phillips,,LDL,true,,,,,,,,,,,,,,,
S. Gray,,TST,true,,BOS,,,,,,,,,,,,,
T. Glasnow,,DKD,true,,LAD,,,,,,,,,,,,,
P. Skenes,,DLC,true,,PIT,,,,,,,,,,,,,
C. Doval,,DDD,true,,NYY,,,,,,,,,,,,,
T. Scott,,SDS,true,,LAD,,,,,,,,,,,,,
H. Greene,,RSR,true,,CIN,,,,,,,,,,,,,
S. Imanaga,,DD2,true,,CHC,,,,,,,,,,,,,
J. Flaherty,,LDL,true,,,,,,,,,,,,,,,
L. Lynn,,TST,true,,,,,,,,,,,,,,,
