player_name,team_code,mlb_team,is_pitcher,position,draft_dollars
B. Harper,TST,PHI,false,OF,30
M. Mikolas,DKD,STL,true,P,2
J. Alvarado,DLC,PHI,true,P,6
C. Doval,DDD,NYY,true,P,29
C. Morton,SDS,ATL,true,P,10
G. Ashcraft,RSR,CIN,true,P,7
W. Buehler,DD2,PHI,true,P,11
B. Miller,LDL,LAD,true,P,16
M. King,TST,SD,true,P,14
A. Cobb,DKD,DET,true,P,7
P. Skenes,DLC,PIT,true,P,1
E. Phillips,DDD,LAD,true,P,27
T. Scott,SDS,LAD,true,P,7
A. Abbott,RSR,CIN,true,P,1
J. Luzardo,DD2,PHI,true,P,25
J. Taillon,LDL,CHC,true,P,1
E. Rodriguez,TST,AZ,true,P,14
J. Paxson,DKD,BOS,true,P,7
J. Steele,DLC,CHC,true,P,31
J. Quintana,DDD,MIL,true,P,3
D. Cease,SDS,TOR,true,P,31
N. Martinez,RSR,CIN,true,P,1
M. Kelly,DD2,AZ,true,P,25
C. Kershaw,LDL,LAD,true,P,1
A. Alzolay,TST,,true,P,12
E. Diaz,DKD,SD,true,P,30
J. Payamps,DLC,ATL,true,P,1
L. Webb,DDD,SF,true,P,40
S. Strider,SDS,ATL,true,P,29
B. Pfaadt,RSR,AZ,true,P,6
K. Harrison,DD2,BOS,true,P,8
M. Gore,LDL,WSH,true,P,1
S. Gray,TST,BOS,true,P,30
R. Iglesias,DKD,ATL,true,P,38
Z. Wheeler,DLC,PHI,true,P,23
L. Severino,DDD,OAK,true,P,2
R. Helsey,SDS,BAL,true,P,11
Aj Puk,RSR,AZ,true,P,5
K. Finnegan,DD2,DET,true,P,1
F. Montas,LDL,NYM,true,P,1
B. Garrett,TST,MIA,true,P,9
R. Suarez,DKD,PHI,true,P,5
L. Lynn,DLC,STL,true,P,1
E. Perez,DDD,MIA,true,P,12
J. Hicks,SDS,BOS,true,P,1
D. Bednar,RSR,NYY,true,P,30
S. Imanaga,DD2,CHC,true,P,16
S. Manaea,LDL,NYM,true,P,1
M. Fried,TST,NYY,true,P,19
K. Senga,DKD,NYM,true,P,1
J. Lawrence,DLC,PIT,true,P,2
J. Wicks,DDD,CHC,true,P,5
S. Ohtani,SDS,LAD,true,P,1
F. Peralta,RSR,MIL,true,P,18
A. Diaz,DD2,TEX,true,P,24
E. Sheehan,LDL,LAD,true,P,1
J. Musgrove,TST,SD,true,P,21
M. Keller,DKD,PIT,true,P,19
R. Lopez,DLC,ATL,true,P,4
N. Lodolo,DDD,CIN,true,P,2
C. Sale,SDS,ATL,true,P,29
H. Greene,RSR,CIN,true,P,27
C. Sanchez,DD2,PHI,true,P,1
B. Graterol,LDL,LAD,true,P,1
K. Gibson,TST,MIA,true,P,3
T. Glasnow,DKD,LAD,true,P,46
A. Nola,DLC,PHI,true,P,49
Y. Darvish,DDD,SD,true,P,14
P. Sewald,SDS,DET,true,P,24
Y. Yamamoto,RSR,LAD,true,P,86
Z. Gallen,DD2,AZ,true,P,21
J. Gray,LDL,TEX,true,P,1
D. Williams,TST,NYM,true,P,6
