player_name,team_code,position,is_pitcher
F. Schwindel,DKG,DH,FALSE
P. Smith,DMK,DH,FALSE
J. Votto,DDG,DH,FALSE
N. Cruz,SKD,DH,FALSE
M. Chavis,RGS,DH,FALSE
E. Escobar,DEV,DH,FALSE
K. Hiura,LDY,DH,FALSE
B. Harper,SHO,DH,FALSE
Z. Wheeler,DKG,P,TRUE
C. Burnes,DMK,P,TRUE
L. Castillo,DDG,P,TRUE
N. Martinez,SKD,P,TRUE
DK. Hudson,RGS,P,TRUE
A. Nola,DEV,P,TRUE
J. Urias,LDY,P,TRUE
E. Cabrera,SHO,P,TRUE
Y. Darvish,DKG,P,TRUE
G. Ashcraft,DMK,P,TRUE
L. Webb,DDG,P,TRUE
I. Anderson,SKD,P,TRUE
K. Gibson,RGS,P,TRUE
M. Fried,DEV,P,TRUE
C. Kershaw,LDY,P,TRUE
S. Alcantara,SHO,P,TRUE
H. Grove,DKG,P,TRUE
B. Snell,DMK,P,TRUE
R. Contreas,DDG,P,TRUE
Ty. MeGill,SKD,P,TRUE
M. Kelly,RGS,P,TRUE
S. Long,DEV,P,TRUE
P. Lopez,LDY,P,TRUE
J. Musgrove,SHO,P,TRUE
Z. Davies,DKG,P,TRUE
T. Walker,DMK,P,TRUE
K. Thompson,DDG,P,TRUE
T. Mahle,SKD,P,TRUE
C. Rodon,RGS,P,TRUE
A. Wainwright,DEV,P,TRUE
Jos. Gray,LDY,P,TRUE
W. Miley,SHO,P,TRUE
A. Heaney,DKG,P,TRUE
A. Ashby,DMK,P,TRUE
M. Gore,DDG,P,TRUE
A. Wood,SKD,P,TRUE
C. Bassitt,RGS,P,TRUE
Tr. Rodgers,DEV,P,TRUE
M. Swarmer,LDY,P,TRUE
K. Wright,SHO,P,TRUE
J. Brubaker,DKG,P,TRUE
H. Greene,DMK,P,TRUE
S. Manaea,DDG,P,TRUE
S. Strider,SKD,P,TRUE
J. Quintana,RGS,P,TRUE
C. Morton,DEV,P,TRUE
D. Robertson,LDY,P,TRUE
S. Strasburg,SHO,P,TRUE
D. Hudson,DKG,P,TRUE
T. Rainey,DMK,P,TRUE
M. Mikolas,DDG,P,TRUE
C. Carrasco,SKD,P,TRUE
Z. Gallen,RGS,P,TRUE
T. Santillan,DEV,P,TRUE
E. Lauer,LDY,P,TRUE
T. Gonsolin,SHO,P,TRUE
C. Kimbrel,DKG,P,TRUE
A. Houser,DMK,P,TRUE
R. Helsley,DDG,P,TRUE
T. Anderson,SKD,P,TRUE
D. Bard,RGS,P,TRUE
M. Clevinger,DEV,P,TRUE
C. Doval,LDY,P,TRUE
D. Williams,SHO,P,TRUE
C. Knebel,DKG,P,TRUE
T. Rodgers,DMK,P,TRUE
"J, Hader",DDG,P,TRUE
K. Jansen,SKD,P,TRUE
T. Scott,RGS,P,TRUE
D. Bednar,DEV,P,TRUE
M. Melancon,LDY,P,TRUE
E. Diaz,SHO,P,TRUE
