player_name,team_code,mlb_team,position,is_pitcher,is_keeper,draft_dollars,R,HR,RBI,SB,AVG,GS,W,SV,K,ERA,WHIP,SO
"Abner Uribe",DVD,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,3,11,1.80,0.90,0
"Max Muncy",LDL,LAD,3B,FALSE,FALSE,0,4,2,3,0,.118,0,0,0,0,0.00,0.00,0
"Mookie Betts",LDL,LAD,SS,FALSE,FALSE,0,15,6,23,0,.307,0,0,0,0,0.00,0.00,0
"J. Duran",LDL,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Nick Pivetta",LDL,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,23,3.09,1.29,0
"Justin Verlander",LDL,SF,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,33,1.78,1.13,0
"Calvin Faucher",LDL,MIA,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,2,9,3.38,1.38,0
"Wil. Contreas",TSH,UNK,C,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"B. Harper",TSH,UNK,CM,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Liam Hicks",TSH,MIA,C,FALSE,FALSE,0,5,1,6,2,.170,0,0,0,0,0.00,0.00,0
"Nolan Gorman",TSH,STL,MI,FALSE,FALSE,0,6,1,4,0,.151,0,0,0,0,0.00,0.00,0
"Jonah Tong",LDL,NYM,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,16,9.88,1.98,0
"Mickey Moniak",LDL,COL,DH,FALSE,FALSE,0,13,6,14,3,.312,0,0,0,0,0.00,0.00,0
"Kodai Senga",LDL,NYM,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,6,9.64,1.93,0
"Masyn Winn",LDL,STL,MI,FALSE,FALSE,0,3,0,1,0,.190,0,0,0,0,0.00,0.00,0
"Rafael Devers",TSH,BOS,DH,FALSE,FALSE,0,20,8,18,0,.220,0,0,0,0,0.00,0.00,0
"Nick Lodolo",TSH,CIN,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,26,4.03,1.30,0
"Dylan Cease",TSH,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,32,3.12,1.31,0
"Blake Snell",TSH,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,34,2.25,1.08,0
"Nabil Crismatt",TSH,AZ,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,14,5.12,1.50,0
"Brice Turang",TSH,MIL,2B,FALSE,FALSE,0,13,3,14,2,.300,0,0,0,0,0.00,0.00,0
"Pete Alonso",TSH,NYM,1B,FALSE,FALSE,0,13,7,16,0,.282,0,0,0,0,0.00,0.00,0
"Manny Machado",TSH,SD,3B,FALSE,FALSE,0,12,6,16,2,.202,0,0,0,0,0.00,0.00,0
"Michael Harris II",TSH,ATL,OF,FALSE,FALSE,0,9,3,13,5,.247,0,0,0,0,0.00,0.00,0
"Harrison Bader",TSH,PHI,OF,FALSE,FALSE,0,19,3,10,1,.311,0,0,0,0,0.00,0.00,0
"Jurickson Profar",TSH,ATL,OF,FALSE,FALSE,0,12,2,6,1,.191,0,0,0,0,0.00,0.00,0
"Jose A. Ferrer",TSH,WSH,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,7,16,5.84,1.62,0
"Clay Holmes",TSH,NYM,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,18,3.09,1.24,0
"Brandon Woodruff",TSH,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,20,3.52,1.04,0
"Raisel Iglesias",TSH,ATL,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,7,14,0.00,0.77,0
"Ian Happ",TSH,CHC,OF,FALSE,FALSE,0,16,6,19,1,.286,0,0,0,0,0.00,0.00,0
