player_name,mlb_id,team_code,is_pitcher,AB,H,R,HR,RBI,SB,AVG,W,SV,K,IP,ER,ERA,WHIP
N. Lodolo,,TST,true,,,,,,,,,,,,,,
C. Horton,,DKD,true,,,,,,,,,,,,,,
N. Martinez,,DLC,true,,,,,,,,,,,,,,
F. Peralta,,DDD,true,,,,,,,,,,,,,,
M. Burrows,,SDS,true,,,,,,,,,,,,,,
A. Abbott,,RSR,true,,,,,,,,,,,,,,
S. Gray,,DD2,true,,,,,,,,,,,,,,
N. Pivetta,,LDL,true,,,,,,,,,,,,,,
J. Junk,,TST,true,,,,,,,,,,,,,,
Ra. Suarez,,DKD,true,,,,,,,,,,,,,,
C. Rea,,DLC,true,,,,,,,,,,,,,,
Z. Gallen,,DDD,true,,,,,,,,,,,,,,
C. Sanchez,,SDS,true,,,,,,,,,,,,,,
B. Singer,,RSR,true,,,,,,,,,,,,,,
D. Peterson,,DD2,true,,,,,,,,,,,,,,
D. May,,LDL,true,,,,,,,,,,,,,,
S. Manea,,TST,true,,,,,,,,,,,,,,
M. Liberatore,,DKD,true,,,,,,,,,,,,,,
C. Kershaw,,DLC,true,,,,,,,,,,,,,,
R. Nelson,,DDD,true,,,,,,,,,,,,,,
Q. Piester,,SDS,true,,,,,,,,,,,,,,
E. Perez,,RSR,true,,,,,,,,,,,,,,
J. Misiorowski,,DD2,true,,,,,,,,,,,,,,
J. Verlander,,LDL,true,,,,,,,,,,,,,,
C. Holmes,,TST,true,,,,,,,,,,,,,,
E. Sheehan,,DKD,true,,,,,,,,,,,,,,
J. Quintana,,DLC,true,,,,,,,,,,,,,,
C. Doval,,DDD,true,,,,,,,,,,,,,,
E. Cabrera,,SDS,true,,,,,,,,,,,,,,
S. Imanaga,,RSR,true,,,,,,,,,,,,,,
G. Holmes,,DD2,true,,,,,,,,,,,,,,
S. Miller,,LDL,true,,,,,,,,,,,,,,
S. Halvorsen,,TST,true,,,,,,,,,,,,,,
E. Diaz,,DKD,true,,,,,,,,,,,,,,
D. Palencia,,DLC,true,,,,,,,,,,,,,,
Ro. Suarez,,DDD,true,,,,,,,,,,,,,,
T. Megill,,SDS,true,,,,,,,,,,,,,,
J. Romano,,RSR,true,,,,,,,,,,,,,,
R. Henriquez,,DD2,true,,,,,,,,,,,,,,
C. Faucher,,LDL,true,,,,,,,,,,,,,,
K. Finnegan,,TST,true,,,,,,,,,,,,,,
T. Scott,,DKD,true,,,,,,,,,,,,,,
L. Henderson,,DLC,true,,,,,,,,,,,,,,
R. Helsley,,DDD,true,,,,,,,,,,,,,,
D. Bednar,,SDS,true,,,,,,,,,,,,,,
M. Strahm,,RSR,true,,,,,,,,,,,,,,
R.Rodriguez,,DD2,true,,,,,,,,,,,,,,
E. Pagan,,LDL,true,,,,,,,,,,,,,,
R. Iglesias,,TST,true,,,,,,,,,,,,,,
